symbol,date,price
Drought,Jan 2000,39.81
Drought,Feb 2000,36.35
Drought,Mar 2000,43.22
Drought,Apr 2000,28.37
Drought,May 2000,25.45
Drought,Jun 2000,32.54
Drought,Jul 2000,28.4
Drought,Aug 2000,28.4
Drought,Sep 2000,24.53
Drought,Oct 2000,28.02
Drought,Nov 2000,23.34
Drought,Dec 2000,17.65
Drought,Jan 2001,24.84
Drought,Feb 2001,24
Drought,Mar 2001,22.25
Drought,Apr 2001,27.56
Drought,May 2001,28.14
Drought,Jun 2001,29.7
Drought,Jul 2001,26.93
Drought,Aug 2001,23.21
Drought,Sep 2001,20.82
Drought,Oct 2001,23.65
Drought,Nov 2001,26.12
Drought,Dec 2001,26.95
Drought,Jan 2002,25.92
Drought,Feb 2002,23.73
Drought,Mar 2002,24.53
Drought,Apr 2002,21.26
Drought,May 2002,20.71
Drought,Jun 2002,22.25
Drought,Jul 2002,19.52
Drought,Aug 2002,19.97
Drought,Sep 2002,17.79
Drought,Oct 2002,21.75
Drought,Nov 2002,23.46
Drought,Dec 2002,21.03
Drought,Jan 2003,19.31
Drought,Feb 2003,19.34
Drought,Mar 2003,19.76
Drought,Apr 2003,20.87
Drought,May 2003,20.09
Drought,Jun 2003,20.93
Drought,Jul 2003,21.56
Drought,Aug 2003,21.65
Drought,Sep 2003,22.69
Drought,Oct 2003,21.45
Drought,Nov 2003,21.1
Drought,Dec 2003,22.46
Drought,Jan 2004,22.69
Drought,Feb 2004,21.77
Drought,Mar 2004,20.46
Drought,Apr 2004,21.45
Drought,May 2004,21.53
Drought,Jun 2004,23.44
Drought,Jul 2004,23.38
Drought,Aug 2004,22.47
Drought,Sep 2004,22.76
Drought,Oct 2004,23.02
Drought,Nov 2004,24.6
Drought,Dec 2004,24.52
Drought,Jan 2005,24.11
Drought,Feb 2005,23.15
Drought,Mar 2005,22.24
Drought,Apr 2005,23.28
Drought,May 2005,23.82
Drought,Jun 2005,22.93
Drought,Jul 2005,23.64
Drought,Aug 2005,25.35
Drought,Sep 2005,23.83
Drought,Oct 2005,23.8
Drought,Nov 2005,25.71
Drought,Dec 2005,24.29
Drought,Jan 2006,26.14
Drought,Feb 2006,25.04
Drought,Mar 2006,25.36
Drought,Apr 2006,22.5
Drought,May 2006,21.19
Drought,Jun 2006,21.8
Drought,Jul 2006,22.51
Drought,Aug 2006,24.13
Drought,Sep 2006,25.68
Drought,Oct 2006,26.96
Drought,Nov 2006,27.66
Drought,Dec 2006,28.13
Drought,Jan 2007,29.07
Drought,Feb 2007,26.63
Drought,Mar 2007,26.35
Drought,Apr 2007,28.3
Drought,May 2007,29.11
Drought,Jun 2007,27.95
Drought,Jul 2007,27.5
Drought,Aug 2007,27.34
Drought,Sep 2007,28.04
Drought,Oct 2007,35.03
Drought,Nov 2007,32.09
Drought,Dec 2007,34
Drought,Jan 2008,31.13
Drought,Feb 2008,26.07
Drought,Mar 2008,27.21
Drought,Apr 2008,27.34
Drought,May 2008,27.25
Drought,Jun 2008,26.47
Drought,Jul 2008,24.75
Drought,Aug 2008,26.36
Drought,Sep 2008,25.78
Drought,Oct 2008,21.57
Drought,Nov 2008,19.66
Drought,Dec 2008,18.91
Drought,Jan 2009,16.63
Drought,Feb 2009,15.81
Drought,Mar 2009,17.99
Drought,Apr 2009,19.84
Drought,May 2009,20.59
Drought,Jun 2009,23.42
